Job Title,Search_Keyword,Description,Category_1,highlight,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Client_Country_Albania,Client_Country_Algeria,Client_Country_American Samoa,Client_Country_Andorra,Client_Country_Angola,Client_Country_Anguilla,Client_Country_Antigua and Barbuda,Client_Country_Argentina,Client_Country_Armenia,Client_Country_Australia,Client_Country_Austria,Client_Country_Azerbaijan,Client_Country_Bahamas,Client_Country_Bahrain,Client_Country_Bangladesh,Client_Country_Barbados,Client_Country_Belarus,Client_Country_Belgium,Client_Country_Belize,Client_Country_Benin,Client_Country_Bermuda,Client_Country_Bolivia,Client_Country_Bosnia and Herzegovina,Client_Country_Botswana,Client_Country_Brazil,Client_Country_British Indian Ocean Territory,Client_Country_British Virgin Islands,Client_Country_Brunei Darussalam,Client_Country_Bulgaria,Client_Country_Burkina Faso,Client_Country_Cambodia,Client_Country_Cameroon,Client_Country_Canada,Client_Country_Cayman Islands,Client_Country_Chile,Client_Country_China,Client_Country_Colombia,"Client_Country_Congo, the Democratic Republic of the",Client_Country_Costa Rica,Client_Country_Cote d'Ivoire,Client_Country_Croatia,Client_Country_Curacao,Client_Country_Cyprus,Client_Country_Czech Republic,Client_Country_Denmark,Client_Country_Dominican Republic,Client_Country_Ecuador,Client_Country_Egypt,Client_Country_El Salvador,Client_Country_Estonia,Client_Country_Ethiopia,Client_Country_Finland,Client_Country_France,Client_Country_Gambia,Client_Country_Georgia,Client_Country_Germany,Client_Country_Ghana,Client_Country_Gibraltar,Client_Country_Greece,Client_Country_Greenland,Client_Country_Grenada,Client_Country_Guadeloupe,Client_Country_Guatemala,Client_Country_Guernsey,Client_Country_Guinea,Client_Country_Guyana,Client_Country_Haiti,Client_Country_Honduras,Client_Country_Hong Kong,Client_Country_Hungary,Client_Country_Iceland,Client_Country_India,Client_Country_Indonesia,Client_Country_Ireland,Client_Country_Isle of Man,Client_Country_Israel,Client_Country_Italy,Client_Country_Jamaica,Client_Country_Japan,Client_Country_Jersey,Client_Country_Jordan,Client_Country_Kazakhstan,Client_Country_Kenya,Client_Country_Kuwait,Client_Country_Kyrgyzstan,Client_Country_Laos,Client_Country_Latvia,Client_Country_Lebanon,Client_Country_Liechtenstein,Client_Country_Lithuania,Client_Country_Luxembourg,Client_Country_Macao,Client_Country_Macedonia,Client_Country_Malawi,Client_Country_Malaysia,Client_Country_Maldives,Client_Country_Mali,Client_Country_Malta,Client_Country_Mauritius,Client_Country_Mexico,"Client_Country_Micronesia, Federated States of",Client_Country_Moldova,Client_Country_Monaco,Client_Country_Mongolia,Client_Country_Montenegro,Client_Country_Morocco,Client_Country_Mozambique,Client_Country_Myanmar,Client_Country_Namibia,Client_Country_Nepal,Client_Country_Netherlands,Client_Country_New Caledonia,Client_Country_New Zealand,Client_Country_Nicaragua,Client_Country_Nigeria,Client_Country_Norway,Client_Country_Oman,Client_Country_Pakistan,Client_Country_Palestinian Territories,Client_Country_Panama,Client_Country_Papua New Guinea,Client_Country_Paraguay,Client_Country_Peru,Client_Country_Philippines,Client_Country_Poland,Client_Country_Portugal,Client_Country_Puerto Rico,Client_Country_Qatar,Client_Country_Romania,Client_Country_Russia,Client_Country_Rwanda,Client_Country_Saint Kitts and Nevis,Client_Country_Saint Lucia,Client_Country_Saint Martin (French part),Client_Country_Saint Vincent and the Grenadines,Client_Country_San Marino,Client_Country_Saudi Arabia,Client_Country_Senegal,Client_Country_Serbia,Client_Country_Seychelles,Client_Country_Sierra Leone,Client_Country_Singapore,Client_Country_Slovakia,Client_Country_Slovenia,Client_Country_Somalia,Client_Country_South Africa,Client_Country_South Korea,Client_Country_Spain,Client_Country_Sri Lanka,Client_Country_Suriname,Client_Country_Swaziland,Client_Country_Sweden,Client_Country_Switzerland,Client_Country_Taiwan,Client_Country_Tanzania,Client_Country_Thailand,Client_Country_Togo,Client_Country_Trinidad and Tobago,Client_Country_Tunisia,Client_Country_Turkey,Client_Country_Turkmenistan,Client_Country_Turks and Caicos Islands,Client_Country_Uganda,Client_Country_Ukraine,Client_Country_United Arab Emirates,Client_Country_United Kingdom,Client_Country_United States,Client_Country_United States Minor Outlying Islands,Client_Country_United States Virgin Islands,Client_Country_Uruguay,Client_Country_Uzbekistan,Client_Country_Venezuela,Client_Country_Vietnam,Client_Country_Yemen,Client_Country_Zambia,Client_Country_Zimbabwe,Payment_type_Hourly,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Job_Cost,Hourly_Rate,Applicants_Num,Category 1,Category 2,Category 3
Renewable  : Developing and Implementing a Comprehensive Compensation Structure,Marketing,"Green Tech United, a leading provider in the renewable energy market, is seeking a highly skilled and experienced HR & Sales Market Manager to help drive the growth of our company. As a contract-to-hire position, the successful candidate will be responsible for developing and implementing a comprehensive compensation structure, employee handbook, and sales structure that supports our mission to democratize transparency in the U.S. solar and renewable energy markets.

Responsibilities:

Design and implement a compensation structure that aligns with industry standards in the renewable energy market
Develop and maintain an updated employee handbook that reflects the company's culture and values
Create and manage a sales structure that maximizes the 1099 nature of our organization
Oversee the management of HR processes and procedures, including employee relations and benefits administration
Provide support and guidance to the sales team to help drive growth and achieve company objectives
Requirements:

5+ years of experience in HR and sales management, with a focus on the renewable energy market
Knowledge of industry-specific compensation structures, employee relations, and benefits administration
Proven ability to design and implement sales structures that drive growth and achieve company objectives
Strong communication and interpersonal skills
Ability to work effectively in a fast-paced, deadline-driven environment
This is a contract-to-hire position with competitive hourly compensation. If you are a seasoned HR & Sales Market Manager with a passion for the renewable energy industry, we encourage you to apply. Please include a cover letter and resume to showcase your experience and qualifications.

About Green Tech United:
Green Tech United is a provider of solar energy solutions and a leader in the renewable energy market. With a focus on democratizing transparency in the U.S. solar and renewable energy markets, we are dedicated to helping drive the growth of the industry and creating a better future for our children and the planet. Join our team and make a difference today!



",Marketing Strategy,market,Business Planning & Strategy,Partnership Development,Inbound Inquiry,Law,Human Resource Management,Business Services,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,8.006700845,12,0.693147181,,56,8,Business development,Business Applications Development,Other
Business Plan for Event Rental Biz,Marketing,"I am purchasing an existing floral design/event rental business and would like someone to help me bring my vision for it to life. The business plan I would like to have as an e-file must be suitable for investors.
",Marketing Strategy,Marketing Strategy,Financial Modeling,Business Plan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,,32.5,13,Business development,Business Applications Development,Other
Looking To Hire Social Media Manager,Marketing,"Social Media Manager  

Are you in Florida? Are you in your element when you’re helping others realize their potential? Can you have an entire conversation in emojis?

  If you answered “YES!” to the questions above, we’d love to have you join our team. 

Yellow Umbrella is looking for a Social Media Manager to help us reach the next generation with positivity, empowerment, and knowledge of modeling. This is an in office position.

Responsibilities 
The Social Media Manager is responsible for:
 • Design and schedule content across all social media platforms.
 • Develop a focused marketing strategy to increase traffic and visibility of accounts.
 • Develop and manage the weekly content schedule for Victory social media platforms. 
• Create incredibly engaging written and visual content. 
• Collaborate with other content creators to support engagement campaigns. 
• Identify and measure key performance metrics to determine success of efforts.
 • Develop and monitor paid advertising campaigns that lead to the conversion of casual social media users to engaged followers and ultimately visitors. 
• Build and coach a social media content creation team. (Only for those looking for a long term position)
• Recruit others with marketing, content creation, and/or public speaking abilities and coordinate with them to serve the social media needs of Yellow Umbrella (only for those looking for a long term position)

Reports To: 
Communications Project Manager  

Skills and Qualifications 
•Can be Entry level, but some experience is a benefit
• Continuously learn new social media trends, tools, and platforms, providing insight to execute new strategies to grow engagement. 
• Strong written, verbal and interpersonal communication skills to create relationships. 
• Strong writing, editing and proofing skills. 
• Ability to problem solve, make independent decisions and be self-motivated. 
• Experience managing social media campaigns. 
• Experience building teams and developing leaders. (Long term position seekers)
• Graphic design and Adobe Photoshop/Illustrator experience (not required but a benefit)

 Hours: 
This position is full-time or part time. Some weekend and evening hours, are required.  

Benefits: 
• Learn what it takes for modeling agencies to succeed and build relationships
• Work with a company that stands for the rights of women, and helps regular every day people do what they always dreamed of
• Have a team of people behind you instead of having to do everything yourself (videographers, writers, project managers, etc.)
• Flexible and remote scheduling available
 • Relaxed, friendly atmosphere 
• Opportunities for professional development",Marketing Analytics,marketing,Content Management,Advertising Management,Reputation Management,Social Media Management,Content Management Plan,Content Strategy,Community Engagement,Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,8.006700845,12,1.098612289,,22.5,13,Brand Development,Social Media and Marketing,Other
Product hunt upvotes,Marketing,"We have launch our platform of ML in product hunt 

https://www.producthunt.com/posts/nextbrain-ai

Can anyone help increase the upvotes her?

Thanks ",Data Entry,,Virtual Assistant,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.903537551,4,3.33220451,,10.5,13,Brand Marketing,Social Media and Marketing,Other
Facebook advertising and content creator for election campaign. ,Marketing,Need a creative person that can put together a a winning social media campaign for a local GOP primary. ,Social Media Marketing,Social Media Marketing,Marketing Strategy,Facebook,Facebook Advertising,Content Writing,Social Media Management,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3.713572067,12,0.693147181,,40,18,Branding & Marketing,Social Media and Marketing,"Facebook, Instagram, Twitter"
Spicy short form content + strategy for an unsexy fintech company,Marketing,"Looking for someone that can help build short-form content while helping to shape the strategy. 

We sell software to manage M&A: dealroom.net
and educational products: mascience.com

It's a pretty dry/boring industry. We have tons of top-funnel content but very little middle and bottom-funnel content.

Someone that can take pretty complex concepts or product demo and develop into short-form content that's simple and appeals to a wider audience would be a good fit for this.

Please a little bit about your related experience in a few sentences and maybe share an example.

Thanks!",Creative Writing,,Social Media Strategy,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,11.51293546,12,5.97126184,,30,8,Content Marketing,Content Creation,Other
Ghostwriter for Publication ,Marketing,"I recently joined a major publication council membership for outbound marketing. I would like to hire a ghostwriter for article submissions in the following areas

- facebook advertising: how to and best practices
- MMMs and why they are necessary for your company
- trends in the paid social
- upcoming trends in influencer
- generative AI technology and its impact on technology

For background, I have deep expertise in paid social marketing, measurement, attribution, and creative trends in the space. 

My target with this contract would be to generate 3 articles in total to submit and form a working relationship with a writer for future sprint processes.

If interested in previous articles written, about 95% of the blog posts here - https://www.dysrupt.com/thought-leadership - were generated from me.

Please only contact me on Upwork. Contacting outside of upwork will result in immediate disqualification.",Essay Writing,marketing,English,Ghostwriting,Article,Nonfiction,Paid Social,Artificial Intelligence,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,9.210440367,12,3.17805383,,35,13,Brand development,Content Writing,Other
Looking for Top Talent FB/IG/Tik Tok Ads,Marketing,We are looking for an Expert in FB/IG/Tik Tok Ads to sell our $27 GodWalk App and get bookings for our $10k Men of God Program. We can have our other team manage the accounts and do branding posts and credibility posts. My husband and I both have strong backgrounds of getting ads profitable ourselves but we are looking to bring someone on that can get even better results/front end ROI than we can. We look forward to meeting with you and getting started and creating massive success with ongoing projects. ,TikTok,,Facebook,Instagram,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,12,0,,107.5,35,B2C Marketing,Social Media and Marketing,"Facebook, Instagram, TikTok"
Need a good digital marketing person/company to help us with our SaaS,Marketing,"READ THE ENTIRE JOB POSTING. If you simply write back that you are a Facebook Ads manager... do not apply.

We need someone with vast knowledge of digital marketing for AccountSend.com 

We need someone to help us get the company out there to start generating serious revenue.

We have a small budget for testing... the testing phase must yield tangible results to increase the budget. We do not have $10,000 to spend on Facebook ads to test... I've no interest in that. We've spent $25,000 on Facebook ads and barely broke even The cost per acquisition on Facebook has become outlandishly ridiculously high. So, if you are going to propose Facebook ads.... please do not apply.  We've had 10 other firms try to manage our Facebook Ads account and they all failed. I've heard EVERY strategy in the world... NOTHING works.

We need a strategy that will work, is cheap to test, and can yield results. We have all the data we can use such as email and mobile phones. Again, do not simply write back ""we can run an email campaign via mailchimp"".... we can do that ourselves... and mailchimp will shut it down immediately

We need a comprehensive cover letter explaining what you actually can do for us with DETAIL.

Please respond with ""Yes, I've read the gig"". You will not get an interview without writing this.",Marketing Strategy,marketing,Social Media Marketing,Internet Marketing,Google Ads,Facebook,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,10.30898599,12,4.290459441,,32.5,13,Branding & Marketing,Social Media and Marketing,"Google Ads, SEMrush"
For mental Health app need PPC and other Internet advertising to JAPANESE market ,Marketing,"we are a #1 mental health butiqua!
Here is the main video of our product - https://vimeo.com/783948912

We need a person who will help launch advertising in Japan (native Japanese) and knows all the features of the mobile applications market:
Social media 
influencer 
other advertising methods

our application is adapted for Japan and voice acting by Japanese doctors and announcers!
The application solves problems with the help of psychological practices and meditations (scientific)
stress
insomnia
anxiety
affirmations
spiritual practices 

ONLY FOR JAPANESE NATIVE ",Marketing Strategy,market,Social Media Marketing,Internet Marketing,Facebook,Google Ads,Instagram,Search Engine Optimization,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.210440367,12,1.609437912,,44,8,Branding & Marketing,Mobile Development,Other
