,Category 1,Category 2,Category 3,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Job_Cost,Applicants_Num,Client_Country
0,Data Analysis and Visualization,ETL,"SQL, Excel",0.0,1.0,0.0,12.0,0.0,2500.0,3.0,United States
1,Data Analysis and Visualization,Excel,"SQL, Python",1.0,2.0,4.61512051684126,8.0,0.6931471805599453,200.0,3.0,Canada
5,BI and Analytics,Data Analysis and Visualization,"Excel, Python, Other",1.0,2.0,6.398594934535208,4.0,1.9459101490553132,10.0,3.0,Australia
8,Data Analysis and Visualization,Programming Languages,Python,0.0,2.0,0.0,4.0,0.0,80.0,8.0,Germany
11,3d modeling,3D Rendering,"Autodesk Maya, Blender",1.0,2.0,9.90353755128617,4.0,3.6375861597263857,20.0,3.0,Canada
13,Natural Language Processing,Data Analysis and Visualization,"Excel, Python",1.0,2.0,7.601402334583733,8.0,1.3862943611198906,500.0,35.0,Australia
14,Artificial IntelligenceCore Skills,,Other,1.0,1.0,4.61512051684126,8.0,0.6931471805599453,500.0,3.0,Israel
15,Business development,Data Analysis and Visualization,"Python, Selenium",1.0,2.0,8.006700845440367,4.0,1.6094379124341003,20.0,13.0,United States
19,App development,Web Development,GitHub,1.0,2.0,6.90875477931522,8.0,1.791759469228055,500.0,3.0,United States
20,AI mobile app development,Machine Learning,"Python, TensorFlow",1.0,0.0,4.110873864173311,4.0,2.0794415416798357,5.0,8.0,Pakistan
26,Data Analysis and Visualization,Data Engineering,"Python, Tableau",1.0,0.0,3.713572066704308,4.0,1.0986122886681098,10.0,35.0,Nigeria
30,Data Analysis and Visualization,Web Development,"Excel, Python, Selenium, Other",1.0,2.0,0.0,8.0,0.0,100.0,18.0,United States
35,Data Analysis and Visualization,Data Engineering,Python,0.0,2.0,0.0,8.0,0.0,3500.0,3.0,United States
38,Data Analysis and Visualization,Data Engineering,"Python, SQL, Tableau",0.0,2.0,0.0,2.0,0.0,35.0,13.0,United States
39,BI and Analytics,Data Analysis and Visualization,"SQL, Other",1.0,1.0,0.0,12.0,0.0,700.0,3.0,United States
41,Bulk marketing,Data Analysis and Visualization,Python,1.0,2.0,3.044522437723423,4.0,1.0986122886681098,5.0,8.0,Ecuador
42,Business Development,Data Analysis and Visualization,"Google Analytics, Other",1.0,1.0,9.210440366976517,8.0,2.8903717578961645,200.0,8.0,United States
43,Data Analysis and Visualization,Data Engineering,"Python, SQL, Other",0.0,2.0,0.0,8.0,0.0,200.0,3.0,India
46,Data Analysis and Visualization,API Development,"Google APIs, Python, Postman",0.0,2.0,0.0,4.0,0.0,50.0,3.0,Hong Kong
50,Business Applications Development,Data Analysis and Visualization,"Excel, Power BI",0.0,2.0,0.0,4.0,0.0,100.0,13.0,United States
51,AI mobile app development,Artificial Intelligence,"Python, JavaScript, Machine Learning, Other",1.0,2.0,8.294299608857235,12.0,0.0,1000.0,8.0,United States
54,B2b marketing,A/B Testing,"Google Ads, Google Analytics, Python",1.0,1.0,0.0,12.0,0.0,1000.0,8.0,United Kingdom
56,Algorithm development,Data Engineering,"Python, Other",1.0,2.0,6.90875477931522,8.0,0.0,300.0,13.0,United States
62,API Development,Data Engineering,"Python, SQL, Other",1.0,1.0,0.0,8.0,0.0,50.0,3.0,Portugal
63,"API Development, Business applications development",Python,"Splunk, Python, API Development",0.0,1.0,0.0,4.0,0.0,150.0,3.0,Romania
