,Category 1,Category 2,Category 3,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Hourly_Rate,Applicants_Num,Client_Country
2,Data Analysis and Visualization,Data Engineering,"Excel, Other",1.0,2.0,5.303304908059076,12.0,0.6931471805599453,40.0,3.0,United States
3,Algorithm development,DevOps and CI/CD,"Docker, Other",1.0,1.0,11.51293546492023,12.0,3.295836866004329,67.5,3.0,Canada
4,3d modeling,Machine Learning,"Python, TensorFlow, PyTorch, Computer Vision",1.0,1.0,11.51293546492023,12.0,2.4849066497880004,125.0,3.0,United States
6,BI and Analytics,Data Engineering,"SQL, Other",1.0,2.0,0.0,12.0,0.0,30.0,3.0,Poland
7,Data Analysis and Visualization,API Development,"PostgreSQL, MongoDB, Firebase, SQL, Other",0.0,2.0,0.0,4.0,0.0,16.5,3.0,Bolivia
9,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,2.0,9.210440366976517,4.0,5.225746673713202,59.0,3.0,United States
10,API Development,Data Engineering,"API Development, Python, Other",1.0,2.0,9.210440366976517,4.0,1.791759469228055,35.0,3.0,United States
12,Automation,Data Engineering,"Python, Excel, Other",1.0,2.0,5.303304908059076,4.0,0.6931471805599453,16.5,50.0,Canada
16,Data Analysis and Visualization,Data Engineering,"Excel, Python, Power BI, SQL",0.0,0.0,0.0,8.0,0.0,22.5,8.0,India
17,Data Analysis and Visualization,Data Engineering,"Java, Python, Hadoop, AWS, Spark, Splunk, Other",0.0,1.0,0.0,8.0,0.0,7.5,3.0,United States
18,Data Analysis and Visualization,Data Engineering,Excel,0.0,2.0,0.0,2.0,0.0,35.0,13.0,United States
21,Branding & Marketing,Web Development,"WordPress, Wix",0.0,2.0,0.0,8.0,0.0,30.5,3.0,Turkey
22,Business Development,Data Engineering,"Excel, Other",0.0,1.0,0.0,12.0,0.0,70.0,8.0,United States
23,App development,Web Development,"Python, SQL",1.0,2.0,6.68586094706836,4.0,0.0,30.0,3.0,United States
24,Artificial Intelligence,Data Engineering,"Python, Other",0.0,2.0,0.0,12.0,0.0,29.0,3.0,United Kingdom
25,Artificial Intelligence,Computer Vision,"Python, PyTorch, TensorFlow, MATLAB, Keras, Other",0.0,1.0,0.0,8.0,0.0,53.0,13.0,France
27,Data Analysis and Visualization,BI and Analytics,"Excel, Python, SQL",1.0,2.0,0.0,2.0,0.0,23.0,13.0,Switzerland
28,Ai mobile app development,Data Analysis and Visualization,"Python, SQL, Other",0.0,2.0,0.0,2.0,0.0,15.0,8.0,Netherlands
29,Data Analysis and Visualization,Web Development,"Python, Other",0.0,2.0,0.0,4.0,0.0,10.5,13.0,United States
31,BI and Analytics,Data Engineering,"SQL, Other",1.0,1.0,9.105090961257085,12.0,2.1972245773362196,47.5,18.0,United States
32,B2B Marketing,CRM and Marketing Tools,"Salesforce, HubSpot",1.0,0.0,6.90875477931522,12.0,1.3862943611198906,7.5,18.0,United States
33,Brand Development,Data Analysis and Visualization,"Python, Other",0.0,2.0,0.0,8.0,0.0,32.5,3.0,United States
34,Data Analysis and Visualization,Data Engineering,"SQL, Python, Excel",0.0,2.0,0.0,8.0,0.0,45.0,3.0,United States
36,Branding & Marketing,CRM and Marketing Tools,"HubSpot, API Development, Postman",1.0,1.0,11.51293546492023,12.0,3.4011973816621555,52.5,13.0,France
37,Ai mobile app development,Artificial Intelligence,Other,1.0,1.0,11.289794413577894,2.0,2.302585092994046,62.5,35.0,United States
40,Data Analysis and Visualization,Data Engineering,SQL,1.0,1.0,8.006700845440367,4.0,1.791759469228055,77.5,8.0,United States
44,Data Analysis and Visualization,Data Engineering,Other,1.0,1.0,11.51293546492023,12.0,2.0794415416798357,35.0,3.0,United States
45,Business Development,Data Analysis and Visualization,"Google Analytics, Facebook, Instagram, TikTok, Pinterest",1.0,2.0,8.006700845440367,4.0,0.6931471805599453,57.5,8.0,United States
47,Data Engineering,DevOps,"DataBricks, API Development, Other",1.0,1.0,6.90875477931522,12.0,0.0,60.0,8.0,United States
48,Artificial Intelligence,Data Analysis and Visualization,"Python, SQL, Flask, Django, AWS, Other",1.0,2.0,5.303304908059076,12.0,0.0,29.0,3.0,India
49,BI and Analytics,Data Engineering,"SQL, Python",1.0,0.0,6.398594934535208,12.0,1.0986122886681098,22.5,18.0,India
52,Data Analysis and Visualization,Data Engineering,"AWS, MySQL, Other",1.0,1.0,9.210440366976517,2.0,1.3862943611198906,55.0,3.0,United States
53,APIs and Integrations,Data Engineering,"Shopify, Other",1.0,2.0,11.51293546492023,12.0,4.605170185988092,45.0,3.0,United States
55,Data Analysis and Visualization,Programming Languages,"Python, Other",1.0,2.0,8.294299608857235,12.0,1.3862943611198906,16.5,35.0,United States
57,Data Analysis and Visualization,Data Engineering,"SQL, Python, Tableau, Other",1.0,2.0,6.90875477931522,4.0,1.3862943611198906,57.5,18.0,United States
58,Business Development,Data Analysis and Visualization,"SQL, Other",1.0,1.0,11.51293546492023,12.0,4.51085950651685,12.5,3.0,United States
