iter	RMSE
0	872.1391927
1	856.7116846
2	842.9435413
3	831.8628199
4	821.228743
5	811.5734153
6	802.5613498
7	794.9326101
8	787.5131684
9	781.0581263
10	775.8705817
11	770.623102
12	766.249983
13	762.691539
14	759.3916039
15	756.2116413
16	753.2823719
17	750.4252265
18	748.0986942
19	745.9185651
20	743.5555687
21	741.5540208
22	739.7275479
23	738.2754879
24	736.9184498
25	735.3987293
26	734.2009392
27	733.2152547
28	731.9604626
29	730.6522123
30	729.7822102
31	728.5335737
32	727.7844482
33	726.9326806
34	726.1881106
35	725.3807549
36	724.8259348
37	724.0474463
38	723.5831187
39	722.965055
40	722.4512057
41	721.5862314
42	720.960542
43	720.2185123
44	719.5561157
45	718.9087475
46	718.549846
47	718.0094592
48	717.3605667
49	717.0952997
50	716.3319535
51	716.0933052
52	715.5330721
53	715.3825905
54	714.8327952
55	714.4885817
56	714.0973221
57	713.7801335
58	713.1698146
59	712.803244
60	712.330848
61	711.979301
62	711.659928
63	711.1791433
64	710.9139127
65	710.3293483
66	710.1502682
67	709.8645624
68	709.6686822
69	708.949598
70	708.7533023
71	708.4240616
72	708.2667193
73	707.8165336
74	707.4954289
75	707.08598
76	706.9109405
77	706.5972529
78	706.1717804
79	705.82664
80	705.6597333
81	705.1864484
82	704.9148613
83	704.7088108
84	704.4390908
85	704.3441201
86	704.0405706
87	703.7981018
88	703.4552726
89	703.2057794
90	703.0430919
91	702.9106509
92	702.7148224
93	702.5532114
94	702.2566904
95	701.9459066
96	701.6953829
97	701.6760127
98	701.4879444
99	701.2611919
100	701.1036871
101	700.9304417
102	700.6107754
103	700.3901901
104	700.2162902
105	699.9405508
106	699.7695082
107	699.6733844
108	699.3098855
109	698.9892207
110	698.8013134
111	698.722737
112	698.4597899
113	698.3463905
114	698.2809332
115	698.239504
116	698.0977079
117	697.9908525
118	697.8771449
119	697.8179153
120	697.4844127
121	697.3951199
122	697.0719915
123	696.8516308
124	696.7165935
125	696.6332343
126	696.6316597
127	696.5076564
128	696.3728002
129	696.2713744
130	695.8218233
131	695.7554776
132	695.7169313
133	695.6413383
134	695.5437298
135	695.5058714
136	695.3410038
137	695.2297528
138	695.1990701
139	695.0547426
140	694.9661723
141	694.6426255
142	694.401056
143	694.3071145
144	694.0644995
145	693.6678411
146	693.4645784
147	693.1742264
148	692.9159793
149	692.6247726
150	692.2322358
151	691.7658226
152	691.5866647
153	691.4093334
154	691.072352
155	690.860588
156	690.6227204
157	690.5855774
158	690.147827
159	690.0419296
160	689.8886347
161	689.8089578
162	689.667413
163	689.5912211
164	689.288854
165	689.1380449
166	688.9112519
167	688.7410559
168	688.56932
169	688.3848371
170	688.3535052
171	688.1214739
172	688.0809519
173	687.9871617
174	687.8969576
175	687.5194441
176	687.4978519
177	687.1709242
178	686.7744749
179	686.7157824
180	686.4647503
181	686.3223999
182	686.0650342
183	685.8525331
184	685.8006014
185	685.7938393
186	685.614799
187	685.5121958
188	685.4737504
189	685.3261565
190	685.1948171
191	685.0978611
192	684.9307188
193	684.6087999
194	684.4336942
195	684.3518153
196	684.2488913
197	684.2224406
198	684.0179895
199	683.7560865
200	683.5592906
201	683.2646205
202	683.0368276
203	682.9893625
204	682.7803031
205	682.6389452
206	682.5743824
207	682.4920634
208	682.3685987
209	682.3663032
210	682.237984
211	682.0141753
212	681.9338487
213	681.7845933
214	681.7708952
215	681.6978306
216	681.6024837
217	681.5867332
218	681.5676433
219	681.4391374
220	681.4243949
221	681.0425548
222	680.8701467
223	680.6182544
224	680.4736193
225	680.189621
226	680.0622308
227	680.0297291
228	679.8641654
229	679.8496326
230	679.6271398
231	679.4111136
232	679.2289146
233	678.9895395
234	678.8726246
235	678.8357577
236	678.7036092
237	678.5864468
238	678.5465444
239	678.2359075
240	678.140029
241	678.1043723
