iter	Passed	Remaining
0	6	6227
1	10	5312
2	15	5179
3	18	4674
4	23	4725
5	29	4886
6	35	5039
7	40	4970
8	44	4921
9	49	4884
10	52	4742
11	56	4685
12	60	4566
13	64	4514
14	67	4464
15	71	4367
16	74	4293
17	77	4217
18	80	4163
19	84	4129
20	87	4071
21	92	4115
22	97	4122
23	101	4123
24	105	4119
25	109	4087
26	112	4055
27	117	4063
28	121	4059
29	124	4012
30	126	3968
31	130	3951
32	133	3910
33	136	3881
34	139	3837
35	142	3821
36	146	3805
37	150	3805
38	153	3775
39	156	3749
40	159	3742
41	163	3731
42	167	3721
43	171	3725
44	174	3710
45	179	3720
46	182	3703
47	186	3697
48	190	3706
49	195	3707
50	199	3715
51	204	3727
52	209	3750
53	213	3742
54	217	3744
55	221	3732
56	226	3743
57	230	3750
58	236	3775
59	239	3759
60	244	3758
61	247	3750
62	253	3766
63	256	3755
64	260	3748
65	265	3750
66	268	3736
67	271	3726
68	275	3710
69	278	3695
70	283	3706
71	287	3706
72	290	3690
73	294	3690
74	300	3700
75	305	3718
76	308	3703
77	313	3705
78	317	3703
79	321	3698
80	325	3695
81	330	3698
82	333	3690
83	338	3688
84	343	3692
85	346	3682
86	349	3666
87	353	3664
88	357	3659
89	362	3665
90	366	3660
91	370	3658
92	373	3644
93	376	3631
94	383	3653
95	388	3656
96	392	3655
97	394	3632
98	399	3633
99	403	3630
100	407	3628
101	411	3626
102	417	3634
103	423	3648
104	428	3655
105	432	3651
106	435	3636
107	441	3643
108	444	3635
109	448	3629
110	452	3620
111	455	3612
112	460	3611
113	463	3600
114	466	3590
115	469	3581
116	473	3569
117	476	3561
118	479	3546
119	481	3531
120	485	3525
121	487	3506
122	490	3499
123	494	3491
124	497	3484
125	500	3471
126	501	3448
127	505	3440
128	508	3432
129	510	3417
130	513	3409
131	516	3398
132	518	3381
133	522	3373
134	525	3365
135	528	3355
136	531	3349
137	534	3339
138	536	3324
139	539	3312
140	541	3300
141	545	3293
142	547	3280
143	550	3270
144	553	3261
145	556	3255
146	559	3246
147	562	3239
148	565	3231
149	568	3219
150	571	3213
151	574	3205
152	577	3198
153	580	3188
154	584	3184
155	586	3174
156	590	3168
157	593	3160
158	596	3156
159	599	3147
160	602	3141
161	605	3134
162	609	3131
163	613	3127
164	617	3126
165	621	3123
166	625	3120
167	628	3114
168	633	3117
169	637	3114
170	641	3109
171	644	3103
172	647	3095
173	651	3091
174	654	3085
175	657	3078
176	660	3070
177	663	3062
178	666	3055
179	669	3048
180	672	3041
181	675	3034
182	678	3028
183	681	3021
184	683	3012
185	686	3004
186	689	2998
187	692	2992
188	696	2989
189	700	2984
190	702	2976
191	705	2968
192	708	2963
193	713	2963
194	717	2960
195	721	2957
196	723	2949
197	726	2943
198	729	2935
199	731	2927
200	734	2919
201	737	2914
202	740	2908
203	742	2898
204	745	2890
205	748	2885
206	750	2876
207	752	2866
208	755	2859
209	758	2852
210	761	2847
211	763	2838
212	766	2833
213	769	2824
214	771	2817
215	774	2810
216	776	2803
217	779	2795
218	781	2786
219	784	2782
220	787	2775
221	792	2775
222	795	2771
223	798	2765
224	801	2761
225	805	2758
226	808	2753
227	817	2768
228	825	2778
229	828	2773
230	832	2771
231	836	2768
232	841	2769
233	844	2764
234	847	2758
235	850	2753
236	854	2749
237	859	2751
238	863	2749
239	867	2747
240	872	2748
241	877	2747
242	881	2745
243	884	2741
244	888	2737
245	890	2730
246	894	2727
247	897	2721
248	901	2718
249	904	2714
250	907	2707
251	910	2702
252	913	2697
253	916	2692
254	919	2687
255	923	2683
256	926	2679
257	930	2676
258	933	2671
259	937	2667
260	940	2663
261	943	2658
262	945	2650
263	949	2646
264	954	2646
265	958	2644
266	962	2641
267	965	2637
268	969	2633
269	973	2631
270	976	2626
271	980	2624
272	984	2621
273	988	2618
274	991	2612
275	995	2610
276	998	2605
277	1003	2604
278	1005	2599
279	1011	2600
280	1014	2595
281	1018	2593
282	1022	2589
283	1026	2588
284	1029	2582
285	1033	2579
286	1036	2575
287	1040	2571
288	1044	2569
289	1048	2565
290	1051	2560
291	1054	2556
292	1056	2549
293	1059	2545
294	1063	2540
295	1065	2534
296	1067	2527
297	1070	2522
298	1073	2516
299	1077	2513
300	1080	2509
301	1083	2505
302	1087	2502
303	1091	2497
304	1094	2493
305	1097	2488
306	1099	2483
307	1103	2478
308	1106	2473
309	1108	2467
310	1111	2461
311	1114	2456
312	1117	2452
313	1119	2446
314	1122	2440
315	1124	2434
316	1127	2429
317	1131	2425
318	1134	2422
319	1138	2419
320	1143	2418
321	1147	2415
322	1150	2410
323	1153	2407
324	1157	2403
325	1161	2400
326	1164	2397
327	1168	2394
328	1173	2393
329	1178	2391
330	1181	2387
331	1186	2387
332	1191	2385
333	1195	2384
334	1200	2382
335	1204	2380
336	1218	2396
337	1223	2395
338	1226	2390
339	1229	2385
340	1233	2383
341	1235	2377
342	1239	2374
343	1242	2369
344	1247	2367
345	1250	2364
346	1254	2361
347	1257	2356
348	1261	2354
349	1265	2349
350	1268	2346
351	1271	2341
352	1274	2336
353	1277	2331
354	1279	2325
355	1283	2321
356	1287	2318
357	1290	2314
358	1293	2310
359	1298	2308
360	1301	2303
361	1305	2300
362	1307	2295
363	1310	2289
364	1313	2285
365	1318	2283
366	1322	2280
367	1326	2277
368	1330	2274
369	1332	2269
370	1335	2264
371	1339	2261
372	1343	2258
