Payment_type_Hourly,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Job_Cost,Hourly_Rate,Applicants_Num,Category,Client_Country
0,0,1,0.0,12,0.0,2500.0,,3,Data Science & SQL Development,United States
0,1,2,4.615120517,8,0.693147181,200.0,,3,Data Science & SQL Development,Canada
1,1,2,5.303304908,12,0.693147181,,40.0,3,Data Science & SQL Development,United States
1,1,1,11.51293546,12,3.295836866,,67.5,3,DevOps & Cloud Platforms,Canada
1,1,1,11.51293546,12,2.48490665,,125.0,3,Machine Learning & AI Development,United States
0,1,2,6.398594935,4,1.945910149,10.0,,3,Data Science & SQL Development,Australia
1,1,2,0.0,12,0.0,,30.0,3,Data Science & SQL Development,Poland
1,0,2,0.0,4,0.0,,16.5,3,Big Data & Business Analytics,Bolivia
0,0,2,0.0,4,0.0,80.0,,8,Big Data & Business Analytics,Germany
1,1,2,9.210440367,4,5.225746674,,59.0,3,Data Science & SQL Development,United States
1,1,2,9.210440367,4,1.791759469,,35.0,3,API & Data Engineering,United States
0,1,2,9.903537551,4,3.63758616,20.0,,3,3D Design & Animation,Canada
1,1,2,5.303304908,4,0.693147181,,16.5,50,Big Data & Business Analytics,Canada
0,1,2,7.601402335,8,1.386294361,500.0,,35,Machine Learning & AI Development,Australia
0,1,1,4.615120517,8,0.693147181,500.0,,3,Project Management & Skills,Israel
0,1,2,8.006700845,4,1.609437912,20.0,,13,Big Data & Business Analytics,United States
1,0,0,0.0,8,0.0,,22.5,8,Data Science & SQL Development,India
1,0,1,0.0,8,0.0,,7.5,3,Big Data & Business Analytics,United States
1,0,2,0.0,2,0.0,,35.0,13,Data Science & SQL Development,United States
0,1,2,6.908754779,8,1.791759469,500.0,,3,Full-Stack Development,United States
0,1,0,4.110873864,4,2.079441542,5.0,,8,AI & Mobile App Development,Pakistan
1,0,2,0.0,8,0.0,,30.5,3,Web & Branding Development,Turkey
1,0,1,0.0,12,0.0,,70.0,8,Big Data & Business Analytics,United States
1,1,2,6.685860947,4,0.0,,30.0,3,Full-Stack Development,United States
1,0,2,0.0,12,0.0,,29.0,3,Machine Learning & AI Development,United Kingdom
1,0,1,0.0,8,0.0,,53.0,13,Machine Learning & AI Development,France
